#,股票代號/名稱,類別,20260424,20260430,20260508,20260515,20260522,20260529,總增減,上週持有%
192,2332/友訊,通信網路,-0.29,-0.29,0.39,-0.31,0.68,0.95,1.13,45.12
193,6166/凌華,電腦週邊,0.91,-0.18,0.27,-0.24,0.08,0.29,1.13,77.58
194,3706/神達,電腦週邊,0.92,-0.03,0.51,-1.16,0.01,0.86,1.11,52.33
195,3712/永崴投控,電腦週邊,0.59,-0.31,0.16,-0.15,1.22,-0.41,1.10,54.20
196,4583/台灣精銳,電機,0.89,0.16,0.08,-0.04,0.02,-0.02,1.09,87.97
197,2114/鑫永銓,橡膠,0.00,0.00,0.01,0.00,0.82,0.25,1.08,64.65
198,3481/群創,光電,-2.01,-0.57,6.63,2.81,2.38,-8.17,1.07,44.30
199,5225/東科-KY,其他電子,0.02,-0.02,-0.18,1.04,-0.45,0.64,1.05,46.82
200,6415/矽力*-KY,半導體,0.56,-0.17,0.36,-0.12,0.58,-0.17,1.04,79.69
201,2851/中再保,金融,0.24,0.23,0.29,0.00,0.24,0.04,1.04,71.89
202,2491/吉祥全,光電,0.11,-0.01,0.61,-0.46,1.14,-0.35,1.04,72.33
203,1805/寶徠,營建,0.70,0.15,0.20,0.24,0.28,-0.53,1.04,78.15
204,2516/新建,營建,0.26,0.16,-0.07,0.20,-0.09,0.57,1.03,71.25
205,2481/強茂,半導體,-5.94,-2.26,0.86,8.03,0.41,-0.08,1.02,65.99
206,2615/萬海,航運,-0.25,0.09,0.29,-0.28,0.78,0.37,1.00,84.85
207,2528/皇普,營建,0.47,0.26,0.10,0.19,-0.07,0.05,1.00,83.96
208,3047/訊舟,通信網路,-0.54,-0.44,0.31,0.37,0.56,0.73,0.99,20.63
209,1464/得力,紡織,-0.29,0.12,0.50,0.24,0.13,0.29,0.99,60.73
210,1308/亞聚,塑膠,-0.16,0.45,-0.03,0.25,0.44,0.04,0.99,51.41
211,2352/佳世達,電腦週邊,0.12,0.06,0.19,0.49,0.54,-0.43,0.97,48.87
212,2645/長榮航太,航運,0.34,0.28,-0.06,0.04,0.35,0.01,0.96,84.08
213,6136/富爾特,通信網路,-0.33,-1.01,0.34,0.75,0.63,0.58,0.96,44.14
214,2637/慧洋-KY,航運,0.42,-0.34,0.79,-0.16,-0.17,0.42,0.96,81.13
215,6443/元晶,光電,0.74,0.73,0.73,-0.91,-0.33,0.00,0.96,18.30
216,4560/強信-KY,電機,-0.73,0.55,0.64,0.14,0.15,0.18,0.93,87.24
217,8163/達方,電腦週邊,-0.42,-0.24,-0.30,1.73,-0.38,0.53,0.92,44.67
218,2206/三陽工業,汽車,-0.18,0.05,0.08,0.44,0.13,0.39,0.91,83.79
219,2455/全新,通信網路,1.19,-2.42,2.96,0.60,-2.80,1.37,0.90,50.40
220,912000/晨訊科-DR,存託憑證,0.03,0.04,0.43,-0.03,0.11,0.32,0.90,31.60
221,2520/冠德,營建,0.33,-0.20,-0.53,0.52,0.36,0.41,0.89,70.29
222,6934/心誠鎂,生技醫療業,0.44,0.18,0.02,0.00,0.07,0.18,0.89,62.94
223,9939/宏全,其他,0.06,0.23,-0.84,1.40,-0.04,0.07,0.88,59.88
224,6923/中台,綠能,-0.09,-0.60,1.01,0.25,0.24,0.06,0.87,69.59
225,3532/台勝科,半導體,-0.68,-0.15,1.16,-0.01,-0.05,0.59,0.86,91.32
226,4306/炎洲,塑膠,-0.11,-0.17,0.07,0.09,0.63,0.35,0.86,54.68
227,6949/沛爾生醫-創,生技醫療業,0.07,-0.64,1.04,0.35,0.15,-0.11,0.86,73.94
228,1452/宏益,紡織,0.05,0.31,0.10,0.15,0.13,0.12,0.86,48.47
229,4755/三福化,化學,1.14,-0.03,-0.50,-1.62,0.23,1.64,0.86,71.46
230,3588/通嘉,半導體,-0.80,0.07,1.05,0.17,0.21,0.15,0.85,28.52
231,4952/凌通,半導體,-0.38,0.27,0.03,0.45,-0.51,0.98,0.84,52.12
232,9914/美利達,運動,0.08,-0.50,0.08,0.33,1.32,-0.47,0.84,65.61
233,9944/新麗,其他,-0.01,0.01,-0.34,0.85,0.02,0.31,0.84,79.05
234,8481/政伸,其他,0.04,0.02,0.03,0.03,0.03,0.68,0.83,66.39
235,2025/千興,鋼鐵,0.09,0.00,0.00,0.84,-0.06,-0.04,0.83,63.21
236,2421/建準,電子零組件,-0.84,0.42,-0.78,-0.98,1.14,1.87,0.83,57.65
237,2867/三商壽,金融,0.23,0.11,0.16,0.18,0.14,0.00,0.82,83.81
238,1418/東華,紡織,0.01,0.73,-0.01,0.00,0.03,0.05,0.81,71.41
239,1734/杏輝,生技醫療業,0.40,0.12,-0.15,-0.25,0.15,0.53,0.80,46.91
240,8442/威宏-KY,其他,-0.02,-0.08,0.01,0.57,-0.11,0.43,0.80,72.69
241,1539/巨庭,電機,-0.01,0.03,0.04,0.09,0.01,0.64,0.80,60.88
242,6525/捷敏-KY,半導體,0.14,0.62,0.05,1.23,-1.36,0.12,0.80,67.02
243,4736/泰博,生技醫療業,0.67,0.16,-0.03,0.00,0.00,0.00,0.80,49.95
244,2102/泰豐,橡膠,0.15,0.11,-0.09,0.27,0.17,0.18,0.79,80.30
245,2380/虹光,電腦週邊,0.28,0.07,0.10,0.21,0.11,0.02,0.79,44.74
246,1598/岱宇,運動,0.00,0.51,0.14,0.13,0.00,0.00,0.78,60.34
247,2906/高林,貿易百貨,-0.14,0.06,0.02,0.22,0.18,0.43,0.77,65.49
248,6835/圓裕,電子零組件,0.63,-0.10,0.35,-0.01,-0.07,-0.04,0.76,77.54
249,1472/三洋實業,營建,0.82,0.00,-0.06,0.02,0.02,-0.04,0.76,80.45
250,2929/淘帝-KY,貿易百貨,-0.59,0.13,1.24,0.63,-0.26,-0.39,0.76,30.57
251,1709/和益,化學,0.13,0.04,-0.14,0.30,0.01,0.42,0.76,62.19
252,8476/台境*,綠能,-0.17,0.15,0.06,0.51,-0.13,0.33,0.75,65.55
253,1445/大宇,紡織,0.68,0.05,0.05,-0.02,0.07,-0.08,0.75,68.77
254,8222/寶一,電機,0.29,-0.82,0.98,0.03,0.19,0.08,0.75,38.29
255,3557/嘉威,居家,0.05,0.01,0.05,0.50,0.08,0.06,0.75,60.56
256,5203/訊連,資訊服務,-0.15,-0.10,0.10,0.16,0.17,0.56,0.74,44.79
257,2201/裕隆,汽車,0.02,0.13,0.37,0.26,-0.18,0.14,0.74,63.30
258,6189/豐藝,電子通路,-0.02,-0.02,0.19,-0.22,0.51,0.30,0.74,34.86
259,2702/華園,觀光,0.22,0.02,0.33,0.17,0.00,0.00,0.74,73.71
260,2069/運錩,鋼鐵,-0.01,0.03,0.47,0.00,-0.22,0.47,0.74,61.76
261,6214/精誠,資訊服務,-0.55,0.05,-0.18,0.42,0.18,0.81,0.73,56.40
262,2883/凱基金,金融,-0.07,0.39,0.37,0.05,-0.14,0.11,0.71,66.62
263,1723/中碳,化學,-0.06,0.04,0.02,0.01,0.30,0.40,0.71,52.21
264,1423/利華,紡織,0.13,0.07,0.12,0.18,0.09,0.11,0.70,81.35
265,2904/匯僑,其他,0.52,0.01,0.05,0.02,0.09,0.01,0.70,54.28
266,1309/台達化,塑膠,1.24,-1.21,0.47,-0.48,-0.13,0.80,0.69,47.12
267,3702/大聯大,電子通路,0.55,0.22,0.14,0.03,0.03,-0.28,0.69,85.25
268,2059/川湖,電子零組件,-0.44,0.25,-0.21,1.12,-0.09,0.06,0.69,68.33
269,6120/達運,光電,0.30,-0.25,-0.21,-0.23,0.18,0.90,0.69,60.66
270,3312/弘憶股,電子通路,-0.33,0.10,-0.48,0.98,0.94,-0.53,0.68,47.46
271,6552/易華電,半導體,-0.02,-0.03,-0.02,0.00,-0.01,0.76,0.68,59.14
272,1410/南染,紡織,-0.21,0.04,0.06,0.03,0.72,0.03,0.67,75.82
273,3003/健和興,電子零組件,0.62,0.07,0.47,-0.02,0.18,-0.65,0.67,57.01
274,9933/中鼎,其他,-0.37,0.20,-0.10,-0.20,0.81,0.33,0.67,59.25
275,2374/佳能,光電,-0.92,-0.73,0.63,0.74,0.35,0.60,0.67,30.54
276,1612/宏泰,電器電纜,-0.38,-0.13,0.96,0.03,0.04,0.14,0.66,62.63
277,2023/燁輝,鋼鐵,0.01,0.18,0.14,0.24,0.01,0.08,0.66,78.65
278,6277/宏正,電腦週邊,0.03,-0.01,-0.01,0.45,0.18,0.02,0.66,55.31
279,6464/台數科,其他,0.06,0.08,0.08,0.08,0.00,0.36,0.66,85.06
280,2597/潤弘,營建,0.29,-0.45,-0.05,0.39,0.30,0.18,0.66,79.34
281,6936/永鴻生技,生技醫療業,0.00,0.00,0.56,0.03,0.03,0.02,0.64,75.89
282,1304/台聚,塑膠,-0.32,0.19,0.45,0.18,0.12,0.01,0.63,60.14
283,1340/勝悅-KY,塑膠,0.32,0.36,0.20,0.04,0.00,-0.29,0.63,35.18
284,2908/特力,貿易百貨,0.06,0.20,0.07,0.13,0.13,0.03,0.62,91.82
285,1451/年興,紡織,0.00,0.17,0.03,0.11,0.30,0.01,0.62,63.20
